Reference;Value;Datasheet;Footprint;Qty;DNP;ALTIUM_VALUE;COMPONENTLINK1URL;COMPONENTNNPS_PN;MANUFACTURE 1;MANUFACTURER;MANUFACTURERPN;MFR;MPN;MPN2;SUPPLIER 1;SUPPLIER PART NUMBER 1;Description
BAT1,BAT2,BAT3;BAT 200mAH 4.1V;;NNPS:QL0200I-A;3;;200mAH 4.1V;;;;;;Quallion;QL0200I-A;;Quallion;QL0200I-A;
C1,C3,C4,C6,C7,C9,C10,C11,C12,C14,C15,C16,C18,C19,C20,C24,C26,C28,C33,C34,C35,C37,C59,C63,C64,C65,C67,C68,C72,C73,C74,C75,C76,C80,C81,C82,C83,C84,C85,C86,C88,C89,C90,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102;C_100n_X7R_16_0402_10%;;NNPS:CAP_0402;53;;0.1uF;;;;;;Murata;GRM155R71C104KA88D;;Digi-Key;490-3261-2-ND;
C2,C5,C21,C22,C62,C71,C79;C_1n_C0G_50_0402_5%;;NNPS:CAP_0402;7;;1000pF;;;;;;Murata;GRM1555C1H102JA01D;;Digi-Key;490-3244-1-ND;
C8,C46,C49,C51,C52,C54,C55,C60,C61,C69,C70,C77,C78;C_4u7_X5R_10_0603_10%;;NNPS:CAP_0603;13;;4.7uF;;;;;;Murata Electronics North America;GRM185R61A475KE11D;;Digi-Key;490-11988-6-ND;
C13,C17;C_4u7_X5R_25_0805_10%;;NNPS:CAP_0805;2;;4.7uF;;;;;;Murata Electronics North America;GRM21BR61E475KA12L;;Digi-Key;490-3261-6-ND;
C23,C66;C_1u_X5R_6V3_0402_20%;;NNPS:CAP_0402;2;;1.0uF;;;;;;Murata Electronics North America;GRM152R60J105ME15D;;Digi-Key;490-10006-6-ND;
C27;C_220p_C0G_50_0402_5%;;NNPS:CAP_0402;1;;220pF;;;;;;Murata Electronics North America;GRM1555C1H221JA01;C0402C221J5GACTU;Digi-Key;490-1293-6-ND;
C29;C_1p_C0G_50_0402_5%;;NNPS:CAP_0402;1;;1.0pF;;;;;;Murata Electronics North America;GRM1555C1H1R0CA01D;;Digi-Key;490-3199-6-ND;
C30;C_5p6_C0G_50_0402_10%;;NNPS:CAP_0402;1;;5.6pF;;;;;;Murata Electronics North America;GRM1555C1H5R6DA01D;;Digi-Key;490-5946-6-ND;
C31;8.2pF_C0G_50_0402_5%;;NNPS:CAP_0402;1;;8.2pF;;;;;;KEMET;C0402C829J5GACTU;;Digi-Key;399-10038-6-ND;
C32;C_3p9_C0G_50_0402_10%;;NNPS:CAP_0402;1;;3.9pF;;;;;;Murata Electronics North America;GRM1555C1H3R9CA01D;;Digi-Key;490-5940-6-ND;
C36;C_68p_C0G_50_0402_5%;;NNPS:CAP_0402;1;;68pF;;;;;;Murata Electronics North America;GRM1555C1H680JA01D;;Digi-Key;490-5876-6-ND;
C38,C39;C_15p_C0G_50_0402_5%;;NNPS:CAP_0402;2;;15pF;;;;;;Murata Electronics North America;GRM1555C1H150JA01D;;Digi-Key;490-5888-6-ND;
C40,C41,C42,C56;10uF;;NNPS:CAP_1210;4;;;;;Murata Electronics;;;;;;;;
C43;C_150n_X7R_16_0603_10%;;NNPS:CAP_0603;1;;0.15uF;;;;;;Murata Electronics North America;GRM188R71C154KA01D;;Digi-Key;490-3292-1-ND;
C44;C_100u_X5R_10_1210_20%;;NNPS:CAP_1210;1;;100uF;;;;;;Murata Electronics North America;GRM32ER61A107ME20L;;Digi-Key;490-9969-6-ND;
C45,C57;C_10p_C0G_50_0402_5%;;NNPS:CAP_0402;2;;10pF;;;;;;Murata Electronics North America;GRM1555C1H100JA01D;;Digi-Key;490-5921-6-ND;
C47;C_10u_X5R_16_0805_10%;;NNPS:CAP_0805;1;;10uF;;;;;;Murata Electronics North America;GRM21BR61C106KE15L;;Digi-Key;490-3886-6-ND;
C48;C_22u_X5R_6V3_0805_20%;;NNPS:CAP_0805;1;;22uF;;;;;;Murata Electronics North America;GRM21BR60J226ME39L;GRM219R60J226ME47D;Digi-Key;490-1719-6-ND;
C50;C_1n5_X7R_50_0402_10%;;NNPS:CAP_0402;1;;1500pF;;;;;;Murata Electronics North America;GRM155R71H152KA01D;;Digi-Key;490-3245-6-ND;
C53;C_10u_X5R_6V3_0603_20%;;NNPS:CAP_0603;1;;10uF;;;;;;Murata Electronics North America;GRM188R60J106ME47J;;Digi-Key;490-6405-6-ND;
C58;C_4n7_C0G_50_0402_10%;;NNPS:CAP_0402;1;;4700pF;;;;;;Murata Electronics North America;GRM155R71H472KA01D;;Digi-Key;490-1308-6-ND;
C87,C91;C_39p_C0G_50_0402_5%;;NNPS:CAP_0402;2;;39pF;;;;;;Murata Electronics North America;GRM1555C1H390JA01D;;Digi-Key;490-5871-6-ND;
C92;C_100n_X7R_50_0603_10%;;NNPS:CAP_0603;1;;0.1uF;;;;;;Murata Electronics North America;GRM188R71H104KA93D;;Digi-Key;490-1519-6-ND;
D1,D2,D3,D6,D7,D9;D_40_500m_SOD123;;NNPS:SOD123;6;;500mA;;;;;;Micro Commercial Co.;MBR0540-TP;;Digi-Key;MBR0540TPMSCT-ND;
D4;D_40_500m;;NNPS:SOD123;1;;500mA;;;;;;Micro Commercial Co.;MBR0540-TP;;Digi-Key;MBR0540TPMSCT-ND;
D5,D8;Zener Diode, 15V, 1W, DI123, RoHS;;NNPS:POWERDI;2;;DFLZ15-7;;;;;;Diodes Inc.;DFLZ15-7;DFLZ15Q-7;Digi-Key;DFLZ15DICT-ND;
D10;D_20_1_SOD123W;;NNPS:SOD123;1;;PMEG2010BER;;;;;;NXP;PMEG2010BER,115;;Digi-Key;568-6503-1-ND;
F1,F2,F3,F4;F_500m_1206;;NNPS:FUSE_1206;4;;500mA;;;;;;Littelfuse;1206L050YR;;Digi-Key;F2112CT-ND;
FB1,FB2,FB3,FB4,FB5;Ferrite 100mA 1ohm;;NNPS:IND_0402;5;;;;;;;;Laird-Signal Integrity Products;HZ0402A601R-10;;Digi-Key;240-2364-2-ND;
H1;0.1";;NNPS:HEADER36;1;;;;;;;;;;;;;
J1;Module Connector;~;NNPS:LIDTHROUGH_2-Port;1;;;;;;;;;;;;;Lidthrough Connector - 6 pin
L1;Ferrite 250mA 1.1ohm;;NNPS:IND_0402;1;;250mA;;;;;;Murata;BLM15HG102SN1D;;Digi-Key;490-3999-1-ND;
L2;47nF, 0402, 5%, RoHS;;NNPS:IND_0402;1;;47nH;http://www.coilcraft.com/0402cs.cfm;;;;;Coilcraft;0402CS-47NXJLU;;MOUSER;994-0402CS-47NXJLU;
L3;L_33n_0402_5%;;NNPS:IND_0402;1;;33nH;;;;;;Coilcraft;0402CS-33NXJLU;;MOUSER;994-0402CS-33NXJLU;
L4;L_27n_0402_5%;;NNPS:IND_0402;1;;27nH;;;;;;Coilcraft;0402CS-27NXJLU;0402CS-27NXJLW;MOUSER;994-0402CS-27NXJLU;
L5;L_18n_0402_5%;;NNPS:IND_0402;1;;18nH;;;;;;Coilcraft;0402CS-18NXJLU;;MOUSER;994-0402CS-18NXJLU;
L6;47uF_830m_3030_20%;;NNPS:IND-P1166NL;1;;47uH;;;;;;Pulse;P1166.473NLT;;Mouser;673-P1166.473T;
L7;L_10u_1A6_3030_20%;;NNPS:IND-P1166NL;1;;10uH;;;;;;Pulse;P1166.103T;;Mouser;673-P1166.103T;
L8;L_10u_1A1_2626_20%;;NNPS:IND-ELL-6RH;1;;10uH;;;;;;Panasonic;ELL6RH100M;;Digi-Key;PCD1345CT-ND;
L9;L_2u7_1A8_2626_20%;;NNPS:IND-ELL-6RH;1;;2.7uH;;;;;;Panasonic;ELL6RH2R7M;;Digi-Key;PCD1339CT-ND;
LED1;LED Red 0402;;NNPS:LED_0402_RED;1;;;;;;;;Lumex;SML-LX0402SIC-TR;;Digi-Key;67-1878-1-ND;
R1;R_71.5k_0402;;NNPS:RES_0402;1;;71.5k 1%;;;;;;Vishay Dale;CRCW0402374KFKED;;Digi-Key;541-71.5KLDKR-ND;
R9,R33;R_30k_0402;;NNPS:RES_0402;2;;30k 1%;;;;;;Vishay Dale;CRCW040230K0FKED;;Digi-Key;541-30.0KLDKR-ND;
R10;7.5k ohm, 1%, 1/16W, 0402, RoHS;;NNPS:RES_0402;1;;7.5k 1%;;;;;;Vishay Dale;TNPW04027K50BEED;;Digi-Key;TNP7.50KDADKR-ND;
