Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,MFR,ALTIUM_VALUE,SUPPLIER 1,SUPPLIER PART NUMBER 1,PACKAGEDESCRIPTION,SBI,CLASSNAME,LENGTH,MAX OPERATING TEMPERATURE,WIDTH,RATINGS,VOLTAGE RATING,DIELECTRIC,MIN OPERATING TEMPERATURE,CASE CODE (IMPERIAL),CAPACITANCE,CASE CODE (METRIC),THICKNESS,TOLERANCE,MOUNT,CASE/PACKAGE,PACKAGING,VOLTAGE RATING (DC),MANUFACTURE 1,SUPPLIER 2,SUPPLIER PART NUMBER 2,MFR2,MPN2,PARAMETER 1,ALTIUM_UNNAMED_1,Description,COMPONENTLINK1URL,MANUFACTURER,PARTNUMBER,NOTE,DESIGN ITEM ID,ALTIUM_UNNAMED_2,COMPONENTNNPS_PN,Note,MANUFACTURERPN
"BAT1, BAT2, BAT3",3,BAT 200mAH 4.1V,QL0200I-A,,QL0200I-A,,tht,Quallion,200mAH 4.1V,Quallion,QL0200I-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C1, C10, C100, C101, C102, C11, C12, C14, C15, C16, C18, C19, C20, C24, C26, C28, C3, C33, C34, C35, C37, C4, C59, C6, C63, C64, C65, C67, C68, C7, C72, C73, C74, C75, C76, C80, C81, C82, C83, C84, C85, C86, C88, C89, C9, C90, C93, C94, C95, C96, C97, C98, C99",53,C_100n_X7R_16_0402_10%,CAP_0402,,GRM155R71C104KA88D,,smt,Murata,0.1uF,Digi-Key,490-3261-2-ND,CAP_0402,53-0040-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13, C17",2,C_4u7_X5R_25_0805_10%,CAP_0805,,GRM21BR61E475KA12L,,tht,Murata Electronics North America,4.7uF,Digi-Key,490-3261-6-ND,CAP_0805,53-0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C2, C21, C22, C5, C62, C71, C79",7,C_1n_C0G_50_0402_5%,CAP_0402,,GRM1555C1H102JA01D,,smt,Murata,1000pF,Digi-Key,490-3244-1-ND,CAP_0402,53-0041-2,THMREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C23, C66",2,C_1u_X5R_6V3_0402_20%,CAP_0402,,GRM152R60J105ME15D,,smt,Murata Electronics North America,1.0uF,Digi-Key,490-10006-6-ND,CAP_0402,53-0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25,1,C_DNP_1210,CAP_1210,,DO NOT POPULATE,,tht,DO NOT POPULATE,,DO NOT POPULATE,DO NOT POPULATE,1210,,,0.126inch,85°C,0.063inch,AEC-Q200,50V,X5R,-55°C,1206,10uF,3216,0.071inch,10%,Surface Mount,CAP_1206,Cut Tape,50V,Murata Electronics,,,,,,,,,,,,,,,,
C27,1,C_220p_C0G_50_0402_5%,CAP_0402,,GRM1555C1H221JA01,,smt,Murata Electronics North America,220pF,Digi-Key,490-1293-6-ND,CAP_0402,53-0041-4,,,,,,,,,,,,,,,,,,,Digi-Key,399-7776-6-ND,Kemet,C0402C221J5GACTU,,,,,,,,,,,,
C29,1,C_1p_C0G_50_0402_5%,CAP_0402,,GRM1555C1H1R0CA01D,,smt,Murata Electronics North America,1.0pF,Digi-Key,490-3199-6-ND,CAP_0402,53-0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30,1,C_5p6_C0G_50_0402_10%,CAP_0402,,GRM1555C1H5R6DA01D,,smt,Murata Electronics North America,5.6pF,Digi-Key,490-5946-6-ND,CAP_0402,53-0044-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C31,1,8.2pF_C0G_50_0402_5%,CAP_0402,,C0402C829J5GACTU,,smt,KEMET,8.2pF,Digi-Key,399-10038-6-ND,CAP_0402,53-0041-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
