pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
12.31118,62.80139,-90.0,top,BAT1,QL0200I-A,,QL0200I-A,BAT 200mAH 4.1V,tht,True
12.3282,45.20515,-90.0,top,BAT2,QL0200I-A,,QL0200I-A,BAT 200mAH 4.1V,tht,True
12.3282,27.62835,-90.0,top,BAT3,QL0200I-A,,QL0200I-A,BAT 200mAH 4.1V,tht,True
37.4522,58.71535,0.0,bottom,C1,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
37.0522,30.71535,-90.0,top,C10,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
22.8272,18.13635,-90.0,top,C100,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
43.7422,16.50034,0.0,top,C101,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
42.5446,29.8397,90.0,bottom,C102,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
28.2522,37.89035,90.0,top,C11,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
35.85221,45.54035,0.0,top,C12,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
39.41789,46.86035,0.0,top,C13,GRM21BR61E475KA12L,,CAP_0805,C_4u7_X5R_25_0805_10%,tht,True
34.2022,51.56035,-90.0,top,C14,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
36.81789,53.56536,180.0,top,C15,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
29.9272,59.06535,-90.0,top,C16,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
27.7772,46.84035,180.0,top,C17,GRM21BR61E475KA12L,,CAP_0805,C_4u7_X5R_25_0805_10%,tht,True
32.66816,54.69035,90.0,top,C18,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
28.7772,53.64035,0.0,top,C19,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
39.0272,38.31535,-90.0,bottom,C2,GRM1555C1H102JA01D,,CAP_0402,C_1n_C0G_50_0402_5%,smt,True
22.31457,61.609794,180.0,top,C20,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
21.75457,60.069794,90.0,top,C21,GRM1555C1H102JA01D,,CAP_0402,C_1n_C0G_50_0402_5%,smt,True
27.9272,59.14035,0.0,top,C22,GRM1555C1H102JA01D,,CAP_0402,C_1n_C0G_50_0402_5%,smt,True
31.99316,81.94035,-90.0,top,C23,GRM152R60J105ME15D,,CAP_0402,C_1u_X5R_6V3_0402_20%,smt,True
41.7772,82.74035,90.0,top,C24,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
55.5772,80.74035,90.0,top,C25,DO NOT POPULATE,,CAP_1210,C_DNP_1210,tht,False
43.76018,82.74035,90.0,top,C26,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
51.9772,80.06535,0.0,top,C27,GRM1555C1H221JA01,,CAP_0402,C_220p_C0G_50_0402_5%,smt,True
45.5522,77.42535,0.0,top,C28,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
45.555,79.69,0.0,top,C29,GRM1555C1H1R0CA01D,,CAP_0402,C_1p_C0G_50_0402_5%,smt,True
38.87721,33.75703,0.0,bottom,C3,GRM155R71C104KA88D,,CAP_0402,C_100n_X7R_16_0402_10%,smt,True
50.6022,78.56742,-90.0,top,C30,GRM1555C1H5R6DA01D,,CAP_0402,C_5p6_C0G_50_0402_10%,smt,True
48.7772,78.56742,-90.0,top,C31,C0402C829J5GACTU,,CAP_0402,8.2pF_C0G_50_0402_5%,smt,True
46.8772,79.56535,90.0,top,C32,GRM1555C1H3R9CA01D,,CAP_0402,C_3p9_C0G_50_0402_10%,smt,True
