Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_100n_X7R_16_0402_10%","CAP_0402",46.547370,58.715556,0.000000,bottom
"C2","C_1n_C0G_50_0402_5%","CAP_0402",44.972370,38.315556,-90.000000,bottom
"C3","C_100n_X7R_16_0402_10%","CAP_0402",45.122360,33.757236,0.000000,bottom
"C4","C_100n_X7R_16_0402_10%","CAP_0402",46.872370,38.315556,-90.000000,bottom
"C5","C_1n_C0G_50_0402_5%","CAP_0402",44.997370,56.065556,90.000000,bottom
"C6","C_100n_X7R_16_0402_10%","CAP_0402",46.747370,15.519766,-90.000000,bottom
"C40","10uF","CAP_1210",34.743370,20.865556,-90.000000,bottom
"C41","10uF","CAP_1210",37.797370,20.865556,-90.000000,bottom
"C42","10uF","CAP_1210",31.597370,20.840556,-90.000000,bottom
"C43","C_150n_X7R_16_0603_10%","CAP_0603",40.147370,25.990556,-90.000000,bottom
"C45","C_10p_C0G_50_0402_5%","CAP_0402",34.334970,28.389916,180.000000,bottom
"C46","C_4u7_X5R_10_0603_10%","CAP_0603",35.522370,25.115546,90.000000,bottom
"C47","C_10u_X5R_16_0805_10%","CAP_0805",38.520370,39.215556,180.000000,bottom
"C48","C_22u_X5R_6V3_0805_20%","CAP_0805",39.670370,36.265556,-90.000000,bottom
"C49","C_4u7_X5R_10_0603_10%","CAP_0603",53.897370,29.800556,0.000000,bottom
"C50","C_1n5_X7R_50_0402_10%","CAP_0402",34.695370,37.265556,90.000000,bottom
"C51","C_4u7_X5R_10_0603_10%","CAP_0603",46.022370,48.728126,0.000000,bottom
"C52","C_4u7_X5R_10_0603_10%","CAP_0603",46.022370,49.990556,180.000000,bottom
"C53","C_10u_X5R_6V3_0603_20%","CAP_0603",38.422370,43.487346,0.000000,bottom
"C54","C_4u7_X5R_10_0603_10%","CAP_0603",34.597370,47.312346,-90.000000,bottom
"C55","C_4u7_X5R_10_0603_10%","CAP_0603",34.697370,58.740556,-90.000000,bottom
"C56","10uF","CAP_1210",37.222370,53.815556,90.000000,bottom
"C57","C_10p_C0G_50_0402_5%","CAP_0402",39.347370,55.840556,90.000000,bottom
"C58","C_4n7_C0G_50_0402_10%","CAP_0402",37.222370,61.065556,90.000000,bottom
"C60","C_4u7_X5R_10_0603_10%","CAP_0603",62.415000,50.375000,-90.000000,bottom
"C61","C_4u7_X5R_10_0603_10%","CAP_0603",57.672270,53.640806,-90.000000,bottom
"C62","C_1n_C0G_50_0402_5%","CAP_0402",56.022370,61.690556,90.000000,bottom
"C63","C_100n_X7R_16_0402_10%","CAP_0402",60.965000,62.180000,90.000000,bottom
"C64","C_100n_X7R_16_0402_10%","CAP_0402",59.722160,53.640806,-90.000000,bottom
"C65","C_100n_X7R_16_0402_10%","CAP_0402",60.722160,53.640806,-90.000000,bottom
"C66","C_1u_X5R_6V3_0402_20%","CAP_0402",51.297370,48.728126,0.000000,bottom
"C67","C_100n_X7R_16_0402_10%","CAP_0402",58.150000,63.515000,180.000000,bottom
"C68","C_100n_X7R_16_0402_10%","CAP_0402",58.880000,62.180000,-90.000000,bottom
"C69","C_4u7_X5R_10_0603_10%","CAP_0603",62.415000,32.795000,-90.000000,bottom
"C70","C_4u7_X5R_10_0603_10%","CAP_0603",57.430000,36.080000,-90.000000,bottom
"C71","C_1n_C0G_50_0402_5%","CAP_0402",55.965000,45.845000,90.000000,bottom
"C72","C_100n_X7R_16_0402_10%","CAP_0402",60.749220,44.955130,90.000000,bottom
"C73","C_100n_X7R_16_0402_10%","CAP_0402",59.670000,36.050000,-90.000000,bottom
"C74","C_100n_X7R_16_0402_10%","CAP_0402",60.722160,36.063806,-90.000000,bottom
"C75","C_100n_X7R_16_0402_10%","CAP_0402",57.780000,44.965000,90.000000,bottom
"C76","C_100n_X7R_16_0402_10%","CAP_0402",58.749220,44.957000,-90.000000,bottom
"C78","C_4u7_X5R_10_0603_10%","CAP_0603",57.260000,17.115000,-90.000000,bottom
"C79","C_1n_C0G_50_0402_5%","CAP_0402",56.272370,27.715556,180.000000,bottom
