Ref,Val,Package,PosX,PosY,Rot,Side
"C7","C_100n_X7R_16_0402_10%","CAP_0402",17.777200,79.240350,180.000000,top
"C8","C_4u7_X5R_10_0603_10%","CAP_0603",28.277200,31.090350,-90.000000,top
"C9","C_100n_X7R_16_0402_10%","CAP_0402",42.652210,41.190350,90.000000,top
"C10","C_100n_X7R_16_0402_10%","CAP_0402",37.052200,30.715350,-90.000000,top
"C11","C_100n_X7R_16_0402_10%","CAP_0402",28.252200,37.890350,90.000000,top
"C12","C_100n_X7R_16_0402_10%","CAP_0402",35.852210,45.540350,0.000000,top
"C13","C_4u7_X5R_25_0805_10%","CAP_0805",39.417890,46.860350,0.000000,top
"C14","C_100n_X7R_16_0402_10%","CAP_0402",34.202200,51.560350,-90.000000,top
"C15","C_100n_X7R_16_0402_10%","CAP_0402",36.817890,53.565360,180.000000,top
"C16","C_100n_X7R_16_0402_10%","CAP_0402",29.927200,59.065350,-90.000000,top
"C17","C_4u7_X5R_25_0805_10%","CAP_0805",27.777200,46.840350,180.000000,top
"C18","C_100n_X7R_16_0402_10%","CAP_0402",32.668160,54.690350,90.000000,top
"C19","C_100n_X7R_16_0402_10%","CAP_0402",28.777200,53.640350,0.000000,top
"C20","C_100n_X7R_16_0402_10%","CAP_0402",22.314570,61.609794,180.000000,top
"C21","C_1n_C0G_50_0402_5%","CAP_0402",21.754570,60.069794,90.000000,top
"C22","C_1n_C0G_50_0402_5%","CAP_0402",27.927200,59.140350,0.000000,top
"C23","C_1u_X5R_6V3_0402_20%","CAP_0402",31.993160,81.940350,-90.000000,top
"C24","C_100n_X7R_16_0402_10%","CAP_0402",41.777200,82.740350,90.000000,top
"C25","C_DNP_1210","CAP_1210",55.577200,80.740350,90.000000,top
"C26","C_100n_X7R_16_0402_10%","CAP_0402",43.760180,82.740350,90.000000,top
"C27","C_220p_C0G_50_0402_5%","CAP_0402",51.977200,80.065350,0.000000,top
"C28","C_100n_X7R_16_0402_10%","CAP_0402",45.552200,77.425350,0.000000,top
"C29","C_1p_C0G_50_0402_5%","CAP_0402",45.555000,79.690000,0.000000,top
"C30","C_5p6_C0G_50_0402_10%","CAP_0402",50.602200,78.567420,-90.000000,top
"C31","8.2pF_C0G_50_0402_5%","CAP_0402",48.777200,78.567420,-90.000000,top
"C32","C_3p9_C0G_50_0402_10%","CAP_0402",46.877200,79.565350,90.000000,top
"C33","C_100n_X7R_16_0402_10%","CAP_0402",38.406991,79.515450,180.000000,top
"C34","C_100n_X7R_16_0402_10%","CAP_0402",45.552200,81.640350,0.000000,top
"C35","C_100n_X7R_16_0402_10%","CAP_0402",38.256418,78.537277,180.000000,top
"C36","C_68p_C0G_50_0402_5%","CAP_0402",46.877200,77.890000,-90.000000,top
"C37","C_100n_X7R_16_0402_10%","CAP_0402",41.145000,75.840000,180.000000,top
"C38","C_15p_C0G_50_0402_5%","CAP_0402",39.027200,76.190350,-90.000000,top
"C39","C_15p_C0G_50_0402_5%","CAP_0402",34.827200,76.190350,90.000000,top
"C44","C_100u_X5R_10_1210_20%","CAP_1210",48.552200,18.739950,180.000000,top
"C59","C_100n_X7R_16_0402_10%","CAP_0402",42.725730,61.524840,90.000000,top
"C77","C_4u7_X5R_10_0603_10%","CAP_0603",24.377200,14.000350,90.000000,top
"C85","C_100n_X7R_16_0402_10%","CAP_0402",34.427200,29.615350,0.000000,top
"C86","C_100n_X7R_16_0402_10%","CAP_0402",27.419570,24.469794,180.000000,top
"C87","C_39p_C0G_50_0402_5%","CAP_0402",23.377200,28.007030,90.000000,top
"C88","C_100n_X7R_16_0402_10%","CAP_0402",34.152200,14.915350,180.000000,top
"C89","C_100n_X7R_16_0402_10%","CAP_0402",42.527200,22.065360,90.000000,top
"C90","C_100n_X7R_16_0402_10%","CAP_0402",43.177200,54.990350,90.000000,top
"C91","C_39p_C0G_50_0402_5%","CAP_0402",26.580000,22.505000,90.000000,top
"C92","C_100n_X7R_50_0603_10%","CAP_0603",31.677200,14.809840,0.000000,top
"C93","C_100n_X7R_16_0402_10%","CAP_0402",27.479570,18.759794,180.000000,top
"C94","C_100n_X7R_16_0402_10%","CAP_0402",42.527200,18.815350,90.000000,top
"C95","C_100n_X7R_16_0402_10%","CAP_0402",27.419570,25.579794,180.000000,top
"C96","C_100n_X7R_16_0402_10%","CAP_0402",23.259570,53.354794,-90.000000,top
"C97","C_100n_X7R_16_0402_10%","CAP_0402",37.427200,14.300350,-90.000000,top
"C98","C_100n_X7R_16_0402_10%","CAP_0402",23.349570,35.759794,-90.000000,top
"C99","C_100n_X7R_16_0402_10%","CAP_0402",43.742300,15.450350,0.000000,top
"C100","C_100n_X7R_16_0402_10%","CAP_0402",22.827200,18.136350,-90.000000,top
"C101","C_100n_X7R_16_0402_10%","CAP_0402",43.742200,16.500340,0.000000,top
