Ref,Val,Package,PosX,PosY,Rot,Side
C1,C_100n_X7R_16_0402_10%,CAP_0402,37.4522,58.71535,0,bottom
C2,C_1n_C0G_50_0402_5%,CAP_0402,39.0272,38.31535,-90,bottom
C3,C_100n_X7R_16_0402_10%,CAP_0402,38.87721,33.75703,0,bottom
C4,C_100n_X7R_16_0402_10%,CAP_0402,37.1272,38.31535,-90,bottom
C5,C_1n_C0G_50_0402_5%,CAP_0402,39.0022,56.06535,90,bottom
C6,C_100n_X7R_16_0402_10%,CAP_0402,37.2522,15.51956,-90,bottom
C40,10uF,CAP_1210,49.2562,20.86535,-90,bottom
C41,10uF,CAP_1210,46.2022,20.86535,-90,bottom
C42,10uF,CAP_1210,52.4022,20.84035,-90,bottom
C43,C_150n_X7R_16_0603_10%,CAP_0603,43.8522,25.99035,-90,bottom
C45,C_10p_C0G_50_0402_5%,CAP_0402,49.6646,28.38971,180,bottom
C46,C_4u7_X5R_10_0603_10%,CAP_0603,48.4772,25.11534,90,bottom
C47,C_10u_X5R_16_0805_10%,CAP_0805,45.4792,39.21535,180,bottom
C48,C_22u_X5R_6V3_0805_20%,CAP_0805,44.3292,36.26535,-90,bottom
C49,C_4u7_X5R_10_0603_10%,CAP_0603,30.1022,29.80035,0,bottom
C50,C_1n5_X7R_50_0402_10%,CAP_0402,49.3042,37.26535,90,bottom
C51,C_4u7_X5R_10_0603_10%,CAP_0603,37.9772,48.72792,0,bottom
C52,C_4u7_X5R_10_0603_10%,CAP_0603,37.9772,49.99035,180,bottom
C53,C_10u_X5R_6V3_0603_20%,CAP_0603,45.5772,43.48714,0,bottom
C54,C_4u7_X5R_10_0603_10%,CAP_0603,49.4022,47.31214,-90,bottom
C55,C_4u7_X5R_10_0603_10%,CAP_0603,49.3022,58.74035,-90,bottom
C56,10uF,CAP_1210,46.7772,53.81535,90,bottom
C57,C_10p_C0G_50_0402_5%,CAP_0402,44.6522,55.84035,90,bottom
C58,C_4n7_C0G_50_0402_10%,CAP_0402,46.7772,61.06535,90,bottom
C60,C_4u7_X5R_10_0603_10%,CAP_0603,21.58457,50.374794,-90,bottom
C61,C_4u7_X5R_10_0603_10%,CAP_0603,26.3273,53.6406,-90,bottom
C62,C_1n_C0G_50_0402_5%,CAP_0402,27.9772,61.69035,90,bottom
C63,C_100n_X7R_16_0402_10%,CAP_0402,23.03457,62.179794,90,bottom
C64,C_100n_X7R_16_0402_10%,CAP_0402,24.27741,53.6406,-90,bottom
C65,C_100n_X7R_16_0402_10%,CAP_0402,23.27741,53.6406,-90,bottom
C66,C_1u_X5R_6V3_0402_20%,CAP_0402,32.7022,48.72792,0,bottom
C67,C_100n_X7R_16_0402_10%,CAP_0402,25.84957,63.514794,180,bottom
C68,C_100n_X7R_16_0402_10%,CAP_0402,25.11957,62.179794,-90,bottom
C69,C_4u7_X5R_10_0603_10%,CAP_0603,21.58457,32.794794,-90,bottom
C70,C_4u7_X5R_10_0603_10%,CAP_0603,26.56957,36.079794,-90,bottom
C71,C_1n_C0G_50_0402_5%,CAP_0402,28.03457,45.844794,90,bottom
C72,C_100n_X7R_16_0402_10%,CAP_0402,23.25035,44.954924,90,bottom
C73,C_100n_X7R_16_0402_10%,CAP_0402,24.32957,36.049794,-90,bottom
C74,C_100n_X7R_16_0402_10%,CAP_0402,23.27741,36.0636,-90,bottom
C75,C_100n_X7R_16_0402_10%,CAP_0402,26.21957,44.964794,90,bottom
C76,C_100n_X7R_16_0402_10%,CAP_0402,25.25035,44.956794,-90,bottom
C78,C_4u7_X5R_10_0603_10%,CAP_0603,26.73957,17.114794,-90,bottom
C79,C_1n_C0G_50_0402_5%,CAP_0402,27.7272,27.71535,180,bottom
C80,C_100n_X7R_16_0402_10%,CAP_0402,22.95057,27.263424,90,bottom
C81,C_100n_X7R_16_0402_10%,CAP_0402,24.45457,18.129794,-90,bottom
C82,C_100n_X7R_16_0402_10%,CAP_0402,23.48457,18.129794,-90,bottom
C83,C_100n_X7R_16_0402_10%,CAP_0402,25.95069,27.263394,90,bottom
C84,C_100n_X7R_16_0402_10%,CAP_0402,24.95057,27.263294,-90,bottom
C102,C_100n_X7R_16_0402_10%,CAP_0402,42.5446,29.8397,90,bottom
D1,D_40_500m_SOD123,SOD123,40.4772,11.70035,180,bottom
D3,D_40_500m_SOD123,SOD123,46.0022,11.70035,0,bottom
D4,D_40_500m_SOD123,SOD123,53.1522,25.94034,90,bottom
D5,"Zener Diode, 15V, 1W, DI123, RoHS",POWERDI,50.1647,16.46535,180,bottom
D6,D_40_500m_SOD123,SOD123,43.8522,21.21534,-90,bottom
D7,D_40_500m_SOD123,SOD123,40.5022,13.60035,0,bottom
D8,"Zener Diode, 15V, 1W, DI123, RoHS",POWERDI,45.6772,16.46535,180,bottom
D9,D_40_500m_SOD123,SOD123,46.0022,13.60035,180,bottom
D10,D_20_1_SOD123W,SOD123,49.7022,54.96535,90,bottom
F1,F_500m_1206,FUSE_1206,25.4522,30.21535,0,bottom
FID9,Fiducial 1.00mm,FID,79.9996,3.99154,180,bottom
FID13,Fiducial 1.00mm,FID,19.56457,13.604794,180,bottom
FID14,Fiducial 1.00mm,FID,49.9996,63.24154,180,bottom
NF1,PAD_70m_50m,PAD_70M_50M,25.956344,13.800486,-90,bottom
NF2,PAD_70m_50m,PAD_70M_50M,28.481561,13.813707,-90,bottom
R1,R_71.5k_0402,RES_0402,48.2196,27.8647,90,bottom
R9,R_30k_0402,RES_0402,38.2522,36.39035,90,bottom
R10,"7.5k ohm, 1%, 1/16W, 0402, RoHS",RES_0402,38.0772,43.09035,180,bottom
R11,R_0_0603,RES_0603,38.87721,34.95703,180,bottom
R12,R_DNP_0402,RES_0402,39.5272,36.39035,-90,bottom
R13,R_0_0603,RES_0603,40.2772,16.69035,-90,bottom
R29,R_0_0603,RES_0603,50.4772,14.40035,0,bottom
R30,R_DNP_0402,RES_0402,51.7522,25.14034,-90,bottom
R31,R_0_0603,RES_0603,53.1522,29.69035,-90,bottom
